# Data of rainfall (mm/day) and pollutant concentration (mg/L) from a well.
day,rainfall,concentration
0,2.790811858878986,5.100529073640704
1,5.197569122539385,5.101036333551522
2,4.936437460294682,5.113407263206165
3,12.050570602315362,5.098591071395734
4,7.121172105414676,5.121848874232204
5,13.447048614237234,5.108933685263256
6,5.521076262627028,5.128225960007769
7,7.089207428590689,5.119571755007286
8,10.801314357485031,5.113086604007721
9,8.65306385842332,5.104794349576612
10,13.974219728661378,5.10045889644801
11,4.689717719848384,5.108204989354425
12,5.67796680949113,5.103861656858666
13,14.302475495658772,5.097638539514352
14,9.094700784163075,5.124315365324087
15,7.5724889322999696,5.116879175418205
16,9.243847710363008,5.101167972246889
17,8.90363492040515,5.11742711928066
18,4.540999903829099,5.1050403019847375
19,5.57335680677752,5.088740606240842
20,5.803625550748103,5.095317373105739
21,4.258890093799471,5.115892006909842
22,2.536414511975715,5.112312209410838
23,0.6913121959630768,5.1038946643151535
24,1.831696221462149,5.111625531159894
25,12.35066727992814,5.098549399136993
26,2.5018421695003097,5.097806028139186
27,11.331460822106822,5.0974619509359025
28,6.287968494495564,5.084934157226845
29,0.5556237834380475,5.110889737483682
30,3.747303289925067,5.1176960828513245
31,2.2218975773655454,5.096871973094695
32,13.413683233880093,5.113218844935865
33,14.03697758590965,5.106223880177727
34,10.859751798148228,5.112472944324223
35,0.4780781049048999,5.116166790406844
36,7.579510003601505,5.1145078740351115
37,5.775196196503563,5.109567432097689
38,10.370794894863591,5.109411223100815
39,14.316545586416542,5.119557928454372
40,10.498522767982692,5.126424315714592
41,4.811651121915542,5.134631010789719
42,4.188789843274009,5.129156083318697
43,10.430789471000285,5.13074281387962
44,5.76233358709748,5.134107557944139
45,7.742328923157241,5.137507725614704
46,10.78875660971504,5.139909225871383
47,7.937976039798194,5.123862893640141
48,7.257924173704431,5.133591751977256
49,7.239593843271532,5.1364291910559015
50,0.0,5.1324271040626925
51,11.938458846149626,5.128313711887026
52,5.805367706180499,5.132952557367853
53,5.025181781443651,5.119662898408872
54,0.0,5.128379016749038
55,7.251425941826334,5.136033853069513
56,1.4753066333057836,5.1333823526162945
57,3.549794809448755,5.158503787374178
58,8.373629316540217,5.151465332473746
59,9.634054019947214,5.139794116839729
60,3.4777589817133463,5.15211143472464
61,5.119204295598558,5.1677064427681625
62,1.683035387954725,5.158673468318747
63,5.150177984765157,5.154884582067887
64,5.562390854719375,5.163877855720177
65,5.679107519877196,5.16025595668668
66,9.753439263169414,5.146586252074941
67,1.2254974863325103,5.158686292157526
68,2.687922354793072,5.143192453607988
69,3.8713568135532817,5.146608311549763
70,3.232814223315941,5.149609382718455
71,1.316665430915778,5.146769366740038
72,8.509833906256596,5.154817771179602
73,2.4553097717683308,5.112566422953186
74,17.141666441345677,5.136430993816894
75,3.8695764047071073,5.156389033653925
76,3.094280548434257,5.138432088032621
77,5.698073861311771,5.173262663164881
78,6.5333868031352775,5.144685354325874
79,0.1077983724089146,5.15451887206128
80,6.265916110108276,5.1491912678380825
81,6.863533128338268,5.142356229471436
82,0.5598450075058587,5.122729407507647
83,0.0,5.1496100638813465
84,0.0,5.143502510076579
85,8.103444504142486,5.129906369951043
86,1.7207710100173872,5.156550486109897
87,2.5913400662129265,5.142177130414827
88,0.0,5.139489672716775
89,1.1918099773444586,5.135115487965715
90,1.453857257509011,5.1426418601854404
91,0.0,5.138353867521962
92,1.2177565922726112,5.123754151190333
93,0.0,5.140450828711365
94,1.5303146164942447,5.132310801759965
95,0.5869947965523654,5.139312175281913
96,0.7290459456549507,5.134445979538007
97,1.1144850914178648,5.146362735341899
98,3.2314264229466083,5.127880147043109
99,0.4598581473860175,5.126790256437356
100,0.0,5.143116089155786
101,0.0,5.156356199200016
102,0.0,5.134186850862342
103,1.549804998301767,5.141216230044411
104,5.129524541235065,5.1445263888949455
105,0.0,5.13247598769548
106,2.436292151990521,5.154378332799438
107,5.363653051326395,5.146462852999994
108,0.0,5.1413079772497685
109,0.0,5.149317885870312
110,0.8880361366213495,5.1424698950788
111,0.0,5.113044540950583
112,0.0,5.131203735196482
113,4.983387409797436,5.13990973613015
